Copyright 2006 Trustees of Indiana University,0
"Copyright (c) 2003, Hartmut Kaiser http://spirit.sourceforge.net/",0
Copyright Peter Dimov 2001,0
"Copyright (c) 2009-2013 Mateusz Loskot, London, UK.",0
"Copyright 2002, 2003, 2006 Rene Rivera",0
Copyright © 2009 Eric Niebler,0
"Copyright 2010-2012, D. E. Shaw Research. All rights reserved.",0
(C) Copyright Beman Dawes 2008,0
Copyright 2003 Christopher Currie,0
(C) Copyright Beman Dawes 2009,0
Copyright (c) Steven Watanabe 2018,0
Copyright Steven J. Ross 2008 - 2014,0
"Copyright (c) 2012-2014 Adam Wulkiewicz, Lodz, Poland.",0
© Copyright 2017 James E. King III,0
(c) Copyright Jeremy Siek 2002,0
Copyright 2003 Rene Rivera,0
"Copyright (c) 2016 Barend Gehrels, Amsterdam, the Netherlands.",0
Copyright John Maddock 20010,0
Copyright © John Maddock &amp; Paul A. Bristow 2007 - 2012,0
Copyright (c) 2012 Daniel James,0
"Copyright (c) 2014 Bruno Lalande, Paris, France.",0
Copyright (C) 2008 Peter Dimov,0
Copyright 2017-2018 Joaquin M Lopez Munoz,0
"Copyright (c) 2009, Gunter Winkler",0
Copyright (c) 2006 Michael van der Westhuizen,0
Copyright (c) 2006 Rene Rivera.,0
Copyright Aleksey Gurtovoy 2001-2008,0
Copyright 2002-2006 Vladimir Prus,0
Copyright 2001 John Maddock.,0
Copyright (c) 2003-2006 Gennaro Prota,0
Copyright (c) 2010-2011 Daniel James,0
Copyright 2014-2017 Rene Rivera,0
Copyright Thorsten Ottosen 2009,0
"Copyright Kevlin Henney, 2000, 2001. All rights reserved.",0
Copyright Thorsten Ottosen 2008,0
"Copyright 2003, 2005 David Abrahams Jeremy Siek Thomas Witt",0
Copyright 2010 Eric Niebler,0
Copyright (C) 2007-2009 Andrew Sutton,0
(C) Copyright Andrew Sutton 2009,0
Copyright (c) 2001-2012 Joel de Guzman,0
(C) Copyright Andrew Sutton 2007,0
Copyright Paul A. Bristow 2006-2011,0
Copyright 2006-2011 Joaquin M Lopez Munoz,0
Copyright 2015 Joel Falcou,0
Copyright 2015 John Maddock.,0
Copyright 2007-2009 Frank Mori Hess,0
(C) Copyright Paul A. Bristow 2011,0
(C) Copyright Thorsten Ottosen 2005.,0
"(C) Copyright MetaCommunications, Inc. 2004.",0
Copyright 2010-2011 Daniel James,0
Copyright (c) 2017 - 2018 Andrey Semashev,0
Copyright Beman Dawes 2000,0
"Copyright 2002 Hervé Brönnimann, Guillaume Melquiond, Sylvain Pion",0
"Copyright Antony Polukhin, 2011-2016.",0
Copyright Beman Dawes 2002,0
Copyright (C) 2009 Francois Barel,0
Copyright Beman Dawes 2003,0
Copyright (c) 2005-2006 Danny Havenith,0
Copyright 2007 Alexandre Courpron,0
(C) Copyright Niels Dekker 2010,0
Copyright (C) 2014 - 2017 Andrzej Krzemienski.,0
Copyright 2003 Ross Smith,0
Copyright (c) 2013 Eurodecision Authors: Guillaume Pinot,0
Copyright 2013 Niall Douglas,0
Copyright 2018 James E. King III,0
(C) Copyright 2002 Robert Ramey- http://www.rrsd.com - David Tonge,0
Copyright (c) 2011 Christopher Jefferson,0
Copyright Troy D. Straszheim 2009,0
"Copyright (c) 2011-2012 Bruno Lalande, Paris, France.",0
"Copyright John Maddock 2006-7, 2013-14.",0
"Copyright 2005-2007 Douglas Gregor, Matthias Troyer, Trustees of Indiana University",0
Copyright Beman Dawes 2007,0
"Copyright 2002, 2009 Peter Dimov",0
Copyright 2006-2014 Joaquín M López Muñoz.,0
(C) Copyright John Maddock 2001-8,0
"Copyright 2003, 2004, 2005, 2006 Vladimir Prus",0
"Copyright 2012 Bejamin Sobotta, John Maddock and Paul A. Bristow",0
Copyright 2008 Adobe Systems Incorporated,0
Copyright (c) 2008 Gennaro Prota,0
Copyright (C) 2005 The Trustees of Indiana University. Authors: Douglas Gregor and Andrew Lumsdaine,0
Copyright (C) 2005 Jong Soo Park &lt;jongsoo.park -at- gmail.com&gt;,0
(C) Copyright Darin Adler 2001.,0
(C) Copyright Toon Knapen 2003.,0
Copyright 2005 Alexander Nasonov,0
Copyright 2015 John Maddock and Paul A. Bristow,0
"Copyright 2013 Twitter, Inc.",0
(C) Copyright 2009 Eric Bose-Wolf,0
"Copyright (c) 2003-2006, 2017 Peter Dimov",0
(C) Copyright 2007 Robert Ramey - http://www.rrsd.com,0
"Copyright (c) 2006-2009 by Emil Dotchevski and Reverge Studios, Inc.",0
"Copyright 1997, 1998, 1999, 2000 University of Notre Dame. Author: Jeremy G. Siek",0
"Copyright 2004, 2010 Trustees of Indiana University &quot;http://www.boost.org/people/doug_gregor.html Doug Gregor, Indiana University",0
Copyright 2013 Mario Mulansky,0
Copyright (c) 2002-2015 Joel de Guzman,0
Copyright (c) 2002 Lars Gullik Bjønnes &lt;larsbj@lyx.org&gt;,0
"Copyright (c) 2014, 2017 Peter Dimov",0
Copyright 2003-2010 Andreas Huber Dönni,0
(C) Copyright 2010 Robert Ramey,0
"Copyright (c) 2011,2013 Daniel James",0
(C) Copyright John Maddock 2011.,0
(C) Copyright Dynatrace 2017,0
(C) Copyright 2008: Joachim Faulhaber,0
Copyright (c) 2014-2017 Vicente J. Botet Escriba,0
(C) Copyright Oliver Kowalke 2016,0
Copyright (c) 1991 by Xerox Corporation. All rights reserved.,0
"Copyright 2011, 2012 Lorenzo Caminiti",0
(C) Copyright Gennadiy Rozental 2001-2005.,0
Copyright 2014 Mario Mulansky,0
Copyright Jan Langer 2002,0
copyright 2011-2012 Lorenzo Caminiti,0
"Copyright 2002, 2003, 2015, 2017 Peter Dimov",0
Copyright Pavol Droba 2002-2006.,0
Copyright 2006-2007 Roland Schwarz.,0
Copyright (c) 2003 - 2008 Jan Gaspar,0
"Copyright (c) 1995, 2007-2015 Barend Gehrels, Amsterdam, the Netherlands.",0
"(C) Copyright Peter Dimov and Multi Media Ltd. 2001, 2002, 2003",0
Copyright 2001-2003 Hartmut Kaiser,0
"Copyright (c) 2002-2003 Beman Dawes, William E. Kempf. 2014-2015 Antony Polukhin",0
(C) Copyright 2005 The Trustees of Indiana University.,0
Copyright 2004 Guillaume Melquiond,0
Copyright Beman Dawes 2006,0
(C) Copyright Ion Gaztanaga 2009-2014,0
Copyright Beman Dawes 2005,0
© Copyright Beman Dawes 1999,0
Copyright (c) 2010-2011 Christopher Schmidt,0
(C) Copyright John Maddock 2017.,0
"© Copyright CrystalClear Software, Inc 2003-2006",0
Copyright (c) 2016-2018 Kohei Takahashi,0
(C) Copyright Dave Abrahams and Daryle Walker 2001,0
Copyright 2005 Eric Niebler,0
"Copyright (c) 2013-2014 Adam Wulkiewicz, Lodz, Poland.",0
"Copyright 2000 &quot;http://www.boost.org/people/jeremy_siek.htm&quot; Jeremy Siek, Indiana University",0
(C) Copyright Paul Mensonides 2002-2011,0
Copyright (c) 2012 Boris Schaeling,0
copyright 2013 Oliver Kowalke,0
Copyright (c) 1998-2000 Dr John Maddock,0
Copyright 2010-2013 Mario Mulansky,0
"Copyright Paul A. Bristow 2007, 2010, 2011",0
"Copyright 1993, 2000 Christopher Seiwald.",0
"Copyright 2005, 2008 Peter Dimov",0
Copyright 2010-2013 Daniel James,0
Copyright John Maddock 2006-15.,0
"(C) Copyright Beman Dawes, Dave Abrahams 1999",0
"Copyright (c) 2001, Thomas Flemming, tf@ttqv.com",0
Copyright 2012 John Maddock and Paul A. Bristow,0
Copyright (c) 2003-2011 Joel de Guzman,0
"copyright Joyent, Inc. and other Node contributors. All rights reserved.",0
Copyright 2011-2015 Karsten Ahnert,0
Copyright (c) 2018 Kohei Takahashi,0
Copyright Thomas Becker 2003,0
Copyright (C) 2001-2002 Joel de Guzman,0
"Copyright (C) 2004, 2005 The Trustees of Indiana University. Authors: Nick Edmonds, Douglas Gregor, and Andrew Lumsdaine",0
Copyright (C) 2001-20044 Douglas Gregor (dgregor at cs dot indiana dot edu),0
"Copyright 2002, 2003, 2004, 2005 Dave Abrahams",0
Copyright 2013 Antony Polukhin,0
Copyright iamvfx@gmail.com 2014,0
Copyright (c) 2012 Benjamin Schindler,0
"Copyright 2005: CrystalClear Software, Inc http://www.crystalclearsoftware.com",0
Copyright 2007-2010 Joachim Faulhaber,0
copyright 2011-2014 Antony Polukhin,0
Copyright Vladimir Prus 2002-2006.,0
"Copyright (c) 2014 Adam Wulkiewicz, Lodz, Poland.",0
(C) Copyright Gennaro Prota 2003 - 2004,0
(C) Copyright Aleksey Gurtovoy 2003,0
Copyright 2008-2009 Daniel James,0
"Copyright Antony Polukhin, 2011-2014.",0
Copyright Beman Dawes 2015,0
(C) Copyright Aleksey Gurtovoy 2002 - 2003.,0
Copyright (c) 2011-2013 Andrew Hundt.,0
Copyright Beman Dawes 2017,0
Copyright Beman Dawes 2011,0
Copyright Beman Dawes 2012,0
Copyright Beman Dawes 2013,0
Copyright Alexander Nasonov 2004,0
Copyright Beman Dawes 2014,0
Copyright 2003-2018 Christopher M. Kohlhoff,0
Copyright 2016-2017 Antony Polukhin,0
Copyright Vladimur Prus 2005,0
Copyright (c) 2011 Aaron Graham,0
Copyright (c) 2007-2012: Joachim Faulhaber,0
(C) Copyright Ion Gaztanaga 2009-2012,0
Copyright Beman Dawes 2004,0
(C) Copyright Ion Gaztanaga 2009-2013,0
Copyright (c) 2002 Trustees of Indiana University,0
Copyright Beman Dawes 2010,0
Copyright (C) 1998-2010 Gilles Vollant (minizip) ( http://www.winimage.com/zLibDll/minizip.html ),0
(C) Copyright John Maddock 1999-2005,0
Copyright (c) 2005 Voipster / Indrek dot Juhani at voipster dot com,0
Copyright 2014 Riccardo Marcangelo mailto:ricky.65@outlook.com,0
(C) Copyright 2008-2013 Vicente J. Botet Escriba,0
Copyright 2008 Eric Niebler.,0
(C) Copyright Daryle Walker 2001-2002,0
Copyright (c) Marshall Clow 2012-2015,0
"Copyright (2) Beman Dawes 2010, 2011",0
Copyright 2017 Nick Thompson,0
"Copyright (c) 2011-2012 Adam Wulkiewicz, Lodz, Poland.",0
(C) Copyright Juergen Hunold 2006-2010,0
Copyright 2013 Paul Bristow,0
Copyright (c) 2006 Stephan Diederich,0
(C) Copyright Beman Dawes 1995-2001,0
Copyright (c) 2002 Hartmut Kaiser http://spirit.sourceforge.net/,0
Copyright Noel Belcourt 2007,0
(C) Copyright Thorsten Ottosen 2002-2003,0
Copyright (C) 2008-2016 Daniel James,0
Copyright Beman Dawes 2008,0
Copyright 2006 Ilya Sokolov.,0
Copyright Beman Dawes 2009,0
Copyright (c) 2015-2016 Antony Polukhin,0
Copyright (c) 2007 Bjorn Roald,0
Copyright 2005 Alo Sarv,0
Copyright 2001-2002 Indiana University.,0
"Copyright 2002, 2005 Daryle Walker",0
Copyright 2005 Vladimir Prus,0
Copyright 2012 K R Walker,0
Copyright 2010-2013 Sebastian Redl,0
Copyright (c) 2009-2010: Joachim Faulhaber,0
Copyright 2003-2010 Joaquin M Lopez Munoz,0
Copyright (C) 2006 Trustees of Indiana University Authors: Douglas Gregor and Jeremy Siek copyrighted 1996 by Ronald Van Iwaarden.,0
(C) Copyright Ion Gaztanaga 2004-2012.,0
Copyright 2010 Andreas Huber Doenni,0
"Copyright 2003, Eric Friedman, Itay Maman.",0
(C) Copyright Paul A. Bristow 2011 (added changesign).,0
Copyright 2011 Stefan Seefeld,0
Copyright (c) 2011 Aaron Graham http://spirit.sourceforge.net/,0
"Copyright © 2000 &quot;http://www.boost.org/people/jeremy_siek.htm&quot; Jeremy Siek, Indiana University mailto:jsiek@osl.iu.edu",0
Copyright (C) 2005-2006 Douglas Gregor &lt;doug.gregor -at- gmail.com&gt;,0
Copyright 2001-2004 The Trustees of Indiana University.,0
Copyright 2005 Reece H. Dunn,0
Copyright Paul Bristow 2014,0
(C) Copyright Antony Polukhin 2013,0
(C) Copyright Antony Polukhin 2012,0
Copyright (C) 2008 Ion Gaztanaga,0
(C) Copyright Simon West 2011,0
Copyright 2013-2015 Mario Mulansky,0
Copyright Aleksey Gurtovoy 2009,0
copyright 2001 Beman Dawes,0
Copyright Aleksey Gurtovoy 2008,0
Copyright Aleksey Gurtovoy 2006,0
Copyright (c) 2003 Boost.Test contributors,0
"Copyright 2002, 2005 Dave Abrahams",0
Copyright © Intel Corporation 2008-2010.,0
Copyright (c) 2014 Tomoki Imai,0
(C) Copyright Stefan Slapeta 2004,0
"Copyright 2004 &quot;http://www.boost.org/people/doug_gregor.html&quot; Douglas Gregor, Indiana University &quot;http://www.osl.iu.edu/~lums&quot; Andrew Lumsdaine, Indiana University (lums -at- osl.iu.edu)",0
Copyright Gottfried Ganßauge 2003..2006,0
copyright Xiaogang Zhang.,0
(C) Copyright 2016 Raffi Enficiaud,0
Copyright 2017-2018 Glen Joseph Fernandes glenjofe -at- gmail.com,0
"Copyright (C) Vladimir Prus 2003 Authors: Andrew Lumsdaine, Lie-Quan Lee, Jeremy G. Siek",0
Copyright (c) 2007-2017 Rene Rivera,0
Copyright (c) 2005 Reece H. Dunn.,0
Copyright (c) Marshall Clow 2014.,0
Copyright 2011-2012 Mario Mulansky,0
"Copyright (c) 2009-2011 Mateusz Loskot, London, UK",0
Copyright 2012-2013 Steven Watanabe,0
"Copyright 2006, 2007, 2012 John Maddock and Paul A. Bristow",0
"Copyright (c) 1996-1998 Silicon Graphics Computer Systems, Inc.",0
(C) Copyright 2008-2011: Joachim Faulhaber,0
(C) Copyright Alisdair Meredith 2006.,0
Copyright (C) 2013 Steven Watanabe,0
"Copyright (C) 1992, 1993, 1994, 1995, 1996, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006 Free Software Foundation, Inc.",0
Copyright (c) 2005 Joao Abecasis,0
Copyright 2009 Andy Tompkins,0
Copyright 2002 Samuel Krempp,0
© Copyright Hartmut Kaiser 2005,0
(C) Copyright Gennadiy Rozental 2002-2015.,0
"Copyright (C) 1995-1996 Jean-loup Gailly, Brian Raiter and Gilles Vollant",0
(C) Copyright 2007 Anthony Williams,0
"Copyright 2006 -2007 Matias Capeletto, matias.capeletto@gmail.com",0
Copyright (C) 2001 Doug Gregor (gregod\@cs.rpi.edu),0
"Copyright Paul A. Bristow 2007, 2010, 2014, 2016.",0
Copyright Rene Rivera 2013,0
Copyright Rene Rivera 2014,0
Copyright (c) 2002 by Andrei Alexandrescu,0
Copyright 2009 Trustees of Indiana University Author: Jeremiah Willcock,0
Copyright Rene Rivera 2006,0
Copyright Rene Rivera 2004,0
Copyright 2014 Peter Dimov,0
Copyright 2002 Jeff Westfahl,0
"Copyright 2009, The Dojo Foundation",0
Copyright (c) 2014 Vicente J. Botet Escriba,0
"Copyright (c) 2003-2006, 2008 Gennaro Prota",0
Copyright 2013 Paul A. Bristow.,0
Copyright (C) 2006 The Trustees of Indiana University.,0
copyright 2008 Howard Hinnant,0
Copyright 2000-2001 &quot;http://www.boost.org/users/people/jeremy_siek.html&quot; Jeremy Siek,0
(C) Copyright Ion Gaztanaga 2004-2013.,0
Copyright (c) 2012 Paul Fultz II,0
"Copyright (c) 2011, 2012 Martin Lambers &lt;marlam@marlam.de&gt;",0
"Copyright 2014-2015 Renato Tegon Forti, Antony Polukhin.",0
"Copyright 2000 Jeremy Siek, Lie-Quan Lee, Andrew Lumsdaine",0
"Copyright (c) 2001-2006 CrystalClear Software, Inc.",0
"Copyright 2001-2006, 2011, 2012 Joel de Guzman, Dan Marsden, Tobias Schwinger",0
"Copyright Arnaud Kapp, Oliver Kowalke 2016",0
"Copyright (c) 2009-2017 Barend Gehrels, Amsterdam, the Netherlands.",0
"Copyright (C) 2008, 2016 Tim Blechmann",0
Copyright Peter Dimov 2000-2002,0
Copyright Peter Dimov 2000-2003,0
"Copyright 2007, 2013 John Maddock and Paul A. Bristow",0
Copyright Rene Rivera 2017,0
Copyright (c) 2011 Paul Heil,0
"Copyright (c) 2013 John Maddock, Antony Polukhin",0
Copyright Rene Rivera 2015,0
Copyright Rene Rivera 2016,0
(C) Copyright 2013-2013 Ion Gaztanaga,0
"copyright 2013, 2017, 2018 Andrey Semashev",0
(C) Copyright Ion Gaztanaga 2013-2013.,0
Copyright Gottfried Ganßauge 2006,0
Copyright (C) 2007 Douglas Gregor and Matthias Troyer,0
Copyright Orson Peters 2017,0
Copyright (c) Marshall Clow 2017.,0
"Copyright Antony Polukhin, 2013-2014.",0
© Copyright John Maddock 2004,0
Copyright (c) 2012-2012 Andrii Sydorchuk.,0
Copyright (c) 2017 Abel Sinkovics,0
Copyright Oliver Kowalke 2016,0
Copyright Andrey Semashev 2014,0
Copyright 2010 Howard Hinnant,0
Copyright (c) 2016 John Maddock,0
Copyright Christopher Kormanyos 2002 - 2013,0
Copyright Oliver Kowalke 2017,0
"Copyright 2006, 2013 The Trustees of Indiana University",0
"Copyright 2006, 2009 John Maddock and Paul A. Bristow",0
(c) 2003 Martin Wille http://spirit.sourceforge.net/,0
Copyright 2011 Peter Dimov,0
Copyright (c) 2003 Jonathan de Halleux (dehalleux@pelikhan.com),0
"Copyright (C) 2002, 2003, 2005 Free Software Foundation, Inc.",0
(C) Copyright Dave Abrahams and Daniel Walker 1999-2003.,0
Copyright Oliver Kowalke 2009,0
Copyright (c) 2017 Hans Dembinski,0
Copyright ohn Maddock 2012,0
Copyright (c) 2006 Peter Dimov,0
(C) Copyright Beman Dawes 2002 - 2003 copy 2014 Glen Fernandes,0
Copyright 2005-2009 Andreas Huber Doenni,0
(C) Copyright 2008 Matthias Troyer,0
Copyright (C) 2012 Vicente Botet,0
"Copyright 2011 Helge Bahmann Copyright 2012 Tim Blechmann Copyright 2013, 2017, 2018 Andrey Semashev",0
Copyright Andrey Semashev 2018,0
Copyright Andrey Semashev 2017,0
© Copyright 2004-2007 http://www.coderage.com/turkanis/ Jonathan Turkanis,0
"Copyright Beman Dawes 1994-2006, 2011",0
Copyright (c) 2001-2010 Hartmut Kaiser,0
"Copyright Antony Polukhin, 2013-2017.",0
"Copyright Vladimir Prus 2003. Permission to copy, use, modify,",0
Copyright (c) 2008-2009 Ben Hanson,0
"(C) Copyright Gaetano Mendola 2010, Simon West 2011",0
"Copyright (c) 1991, 1992 by Xerox Corporation. All rights reserved.",0
"Copyright (c) 2010 Eric Jourdanneau, Joel Falcou",0
"copyright (c) 2013, Oracle and/or its affiliates.",0
"Copyright (c) 2012, 2015 Peter Dimov",0
"Copyright (c) 2000-2010 Joerg Walter, Mathias Koch, Gunter Winkler, David Bellot",0
Copyright 2017 Bjørn Reese,0
Copyright (c) 2009 Joel de Guzman,0
(C) Copyright Milan Svoboda 2008,0
Copyright (c) Kevlin Henney 2001,0
Copyright Paul Mensonides 2003,0
"Copyright (c) 2017-2018, Oracle and/or its affiliates. Contributed and/or modified by Adam Wulkiewicz, on behalf of Oracle",0
Copyright John Maddock 2011.,0
copyright 2011-17 Vicente J. Botet Escriba,0
Copyright Vladimir Prus 2002-2010.,0
Copyright 2001-2002 Daniel C. Nuffer,0
Copyright (C) 2003 Rational Discovery LLC,0
Copyright 2012 John Maddock,0
"Copyright (c) 2006-2010 Emil Dotchevski and Reverge Studios, Inc.",0
© Copyright http://www.housemarque.com,0
Copyright Tim Blechmann 2012,0
Copyright 2009-2012 Artyom Beilis,0
"Copyright Paul Bristow 2006, 2007.",0
(c) Copyright Fernando Luis Cacciola Carballal 2000-2004,0
"Copyright Paul A. Bristow 2006, 2012, 2017.",0
Copyright 2006-2009 Joaquin M Lopez Munoz.,0
Copyright (c) 2008 Federico J. Fernandez.,0
Copyright (c) Marshall Clow 2013.,0
(C) Copyright 2008 Anthony Williams,0
Copyright 2006-2015 Joaquín M López Muñoz,0
"Copyright (c) 2006-2015 Emil Dotchevski and Reverge Studios, Inc.",0
"Copyright 2003, 2004 Douglas Gregor",0
copyright 2005-2016 Rene Rivera,0
Copyright Gottfried Ganßauge 2003,0
Copyright (C) 2008 Matthias Christian Schabel,0
Copyright (C) 2005 Douglas Gregor.,0
Copyright 2015-2016 Barrett Adair,0
Copyright Douglas Gregor 2003-2004,0
Copyright 2002 The Trustees of Indiana University,0
"Copyright 2015, Wind River Inc.",0
Copyright John Maddock 2010.,0
"Copyright 2003 Bruce Barr Authors: Andrew Lumsdaine, Lie-Quan Lee, Jeremy G. Siek",0
"Copyright (c) 2002, 2003, 2005 Peter Dimov",0
copyright 2015 Charly Chevalier,0
Copyright (C) 2004 The Trustees of Indiana University Authors: Douglas Gregor and Andrew Lumsdaine,0
Copyright (c) 2015 Louis Dionne,0
Copyright 2006 - 2013 John Maddock and Paul A. Bristow,0
copyright 2008-2018 Lorenzo Caminiti,0
"Copyright 2007 John Maddock, Joel de Guzman, Eric Niebler and Matias Capeletto",0
Copyright (C) 2011 Júlio Hoffimann.,0
"Copyright (c) 2005, 2008 Peter Dimov",0
Copyright Rene Rivera 2008,0
Copyright (c) 2001-2002 Chuck Allison and Jeremy Siek,0
Copyright (c) 2011 John Maddock,0
Copyright (c) 2001 Peter Dimov and Multi Media Ltd.,0
Copyright 2006 Trustees of Indiana University Authors: Jeremy G. Siek and Douglas Gregor &lt;dgregor@cs.indiana.edu&gt;,0
Copyright © 2001-2009 Aleksey Gurtovoy and David Abrahams,0
"Copyright (C) 2014, andrzej Krzemienski.",0
"copyright 2001-2007 Beman Dawes, Vesa Karvonen, John Maddock",0
Copyright (C) 2006 Marcin Kalicinski,0
"Copyright (c) 2012-2015 Barend Gehrels, Amsterdam, the Netherlands.",0
"Copyright John Maddock 2006, 2011.",0
"Copyright (c) 2006 CrystalClear Software, Inc.",0
Copyright 2008 Gunter Winkler &lt;guwi17@gmx.de&gt;,0
Copyright © Andrii Sydorchuk 2010-2012,0
Copyright © Andrii Sydorchuk 2010-2013,0
"Copyright 2000-2004 Joerg Walter, Mathias Koch, Gunter Winkler, Michael Stevens",0
copyright 2009-2015 Karsten Ahnert and Mario Mulansky,0
"Copyright 1996-1999 Silicon Graphics Computer Systems, Inc.",0
Copyright 2013 Steven Watanabe,0
Copyright Deniz Bahadir 2015,0
Copyright (c) 2016 Mikhail Maximov &lt;vigorous.activity -at- gmail.com&gt;,0
Copyright 2005-2012 Daniel James.,0
Copyright (c) 2008 Howard Hinnant,0
"Copyright 1997-2001 University of Notre Dame. Authors: Jeremy G. Siek, Lie-Quan Lee, Andrew Lumsdaine",0
Copyright 2006 Roland Schwarz.,0
Copyright 2007 Vladimir Prus,0
(C) Copyright Edward Diener 2011-2015,0
Copyright (C) Reece H Dunn 2004,0
"Copyright (c) 2009-2012 Bruno Lalande, Paris, France.",0
Copyright 2002-2006 Rene Rivera.,0
Copyright (c) Matyas Egyhazy 2008,0
"Copyright (c) 2007-2014 Barend Gehrels, Amsterdam, the Netherlands.",0
Copyright 2002 Dave Abrahams,0
Copyright (c) 2002-2010 Hartmut Kaiser,0
Copyright (c) 2010 Carl Philipp Reh,0
"Copyright 2006, 2013 John Maddock and Paul A. Bristow.",0
Copyright (c) 2010-2013 Thomas Heller,0
Copyright (c) 2005 Alexey Pakhunov,0
(C) Copyright Ion Gaztanaga 2004-2015,0
(C) Copyright Jorge Lodos 2008,0
Copyright 2005 Olaf Krzikalla,0
"copyright 2004 2005 Arkadiy Vertleyb, Peder Holt",0
Copyright (c) 2013 Joaquim Duran,0
Copyright (C) 2001 Stephen Cleary,0
Copyright (c) 2017 Vinnie Falco (vinnie dot falco at gmail dot com),0
(C) Copyright Edward Diener 2011-2013,0
(C) Copyright Vicente J. Botet Escriba 2010,0
Copyright (c) 2013 Anton Bikineev,0
Copyright (c) 2009 Vladimir Prus,0
Copyright Jason Rhinelander 2016,0
"(C) Copyright 2011-2012,2017-2018 Vicente J. Botet Escriba",0
Copyright (c) 2014 Eric Niebler,0
"Copyright (c) 1991-2009 Unicode, Inc.",0
"(C) Copyright 2006 Eric Niebler, Olivier Gygi",0
Copyright (c) 2010 Beman Dawes,0
Copyright 2011 -17 Vicente J. Botet Escriba,0
Copyright 2001 &quot;http://people.freenet.de/andreas.scherer Andreas Scherer,0
copyright 2001 Jaakko Järvi,0
"Copyright Paul A. Bristow 2006, 2017.",0
"Copyright 2002 Marc Wintermantel (wintermantel@even-ag.ch) ETH Zurich, Center of Structure Technologies (www.imes.ethz.ch/st)",0
Copyright (c) 2001 Beman Dawes,0
Copyright 2011 Christophe Henry henry UNDERSCORE christophe AT hotmail DOT com,0
Copyright 2016-2018 Joaqun M Lpez Mu241oz,0
Copyright (c) 2006 Joel de Guzman http://spirit.sourceforge.net/,0
"Copyright 2002, 2003, 2004, 2005, 2010 Vladimir Prus",0
"Copyright (c) 2001, Daniel C. Nuffer",0
(C) Copyright John Maddock and Steve Cleary 2000,0
"Copyright (c) 2007-2012 Barend Gehrels, Amsterdam, the Netherlands.",0
"Copyright (c) 2009-2016 Mateusz Loskot, London, UK.",0
"Copyright (c) 2013-2015 Barend Gehrels, Amsterdam, the Netherlands.",0
"Copyright Paul A. Bristow 2006, 2007",0
Copyright 2014 Andrey Semashev,0
Copyright 2008 John Maddock and Paul A. Bristow,0
Copyright 2009-2010 Vicente J. Botet Escriba,0
"Copyright (C) 2009 Trustees of Indiana University Authors: Jeremiah Willcock, Andrew Lumsdaine",0
(C) Copyright Stephen Cleary 2000,0
"Copyright 2010, Jeffrey Hellrung",0
"Copyright John Maddock 2006, 2012.",0
Copyright 2015-2016 Antony Polukhin.,0
Copyright Jeremy Murphy 2016,0
Copyright (C) 2013 Cromwell D. Enage,0
Copyright 2005 Daniel Egloff.,0
Copyright 2012-2017 Glen Joseph Fernandes glenjofe@gmail.com),0
Copyright (c) 2002-2003 Hartmut Kaiser http://spirit.sourceforge.net/,0
Copyright Daniel James 2006-2009,0
"Copyright Paul A. Bristow 2006, 2007, 2012.",0
Copyright 2000 Jeremy Siek,0
Copyright 2003. David Abrahams,0
"Copyright 2008,2012 Peter Dimov",0
Copyright 2003-2018 Joaquín M López Muñoz,0
Copyright (c) 2005-2018 Christopher M. Kohlhoff (chris at kohlhoff dot com),0
Copyright 2010 John Maddock and Paul A. Bristow.,0
"Copyright (c) 2008 Ilya Sokolov, Boris Schaeling",0
Copyright 2012-2013 Mario Mulansky,0
Copyright (C) 2006. Vladimir Prus,0
(C) Copyright Edward Diener 2011-2017,0
"Copyright David Abrahams, Jeremy Siek, Thomas Witt 2003.",0
Copyright (c) 2006 Johan Rade,0
Copyright (c) 2014 John Maddock http://spirit.sourceforge.net/,0
Copyright © 2002-2003 Joel de Guzman,0
Copyright Bertolt Mildner 2004.,0
Copyright © 2007 Aaron Windsor mailto:aaron.windsor@gmail.com,0
(C) Copyright 2011-17 Vicente J. Botet Escriba,0
Copyright (c) 2012 Nathan Ridge,0
Copyright (C) 2001-2003 Jaakko Järvi,0
Copyright Antony Polukhin 2011.,0
"Copyright (c) 1996-1998 by Silicon Graphics. All rights reserved. &quot;,",0
Copyright 2014-2017 Andrzej Krzemieski,0
copyright 2012-2016 Antony Polukhin,0
"Copyright (c) 2013 Bruno Lalande, Paris, France.",0
Copyright (c) 2013-2014 Antony Polukhin,0
(C) Copyright 2004 Pavel Vozenilek,0
Copyright Barrett Adair 2016-2017,0
"copyright 1963-1965 Jane Doe, 2018 Joe Blow, John Coe",0
Copyright Andy Tompkins 2006,0
"Copyright David Abrahams 2002, Nikolay Mladenov 2007",0
Copyright (C) 1995-2013 Jean-loup Gailly and Mark Adler,0
"(C) Copyright Peter Dimov 2001, 2002, 2003",0
"Copyright 2001-2005: CrystalClear Software, Inc http://www.crystalclearsoftware.com",0
(C) Copyright 2008-11 Anthony Williams.,0
Copyright (C) 2004 Jeremy Siek &lt;jsiek@cs.indiana.edu&gt;,0
Copyright (C) 2005-2008 The Trustees of Indiana University.,0
Copyright 2007 Stanford University Authors: David Gleich,0
"Copyright 2016, 2017 Peter Dimov.",0
copyright 2005 2006 2007 2008 Daniel James,0
